Name,Link
"Van Loo, Louis Michel",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=4745

"Van Loo, called C�sar Van Loo, Jules C�sar Denis",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=31039

"van Mieris, Frans",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=5998

"Van Ness, Isaac M.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=6428

"van Orley, Bernard",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=1758

"van Orley, Richard",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=5132

"van Ruysdael, Salomon",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=18427

"Van Sloun, Frank J.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=3261

"van Steenwijk the Younger, Hendrick",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=27366

"van Thielen, Jan Philips",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=9895

"Van Velde, Bram",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=9890

"Van Vliet, Claire",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=3263

"Van Voris, Vera",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=8163

"Van Voris Cordon, Vera Dr.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=8163

"van Walscapelle, Jacob",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=25759

"Van Young, Oscar",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=34098

"Vance, V.L.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=8158

"Vanderbank, John",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=6493

"Vandergucht, Gerard",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=21908

"Vanderhoff, Charles A.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=6443

"Vanderhoof, Charles A.",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=6443

"Vanderlyn, John",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=1948

"Vanderlyn, Pieter",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=5847

"Vanderpool, Grant",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=8159

"VanDerZee, James",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=23911

"Vandre, Bessie",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=8160

"Vangelisti, Vincenzo",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=6152

"Vanloo, Am�d�e",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=1491

"Vanloo, Carle",https://web.archive.org/web/20121006053505/http://www.nga.gov/cgi-bin/tsearch?artistid=2633

"Vanloo, C�sar",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=31039

"Vanloo, Charles Am�d�e Philippe",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=1491

"Vanloo, Charles Andr�",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=2633

"Vanloo, Jean-Baptiste",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=4744

"Vanloo, Jules C�sar Denis",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=31039

"Vanloo, Louis Michel",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=4745

"Vanloo, called C�sar Vanloo, Jules C�sar Denis",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=31039

"Vanni, Francesco",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=2786

"Vanni, Lippo",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=4667

"Vanucci, Pietro",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=1778

